    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 248116 nathan37  20   0 4183092 194900  62148 S   0.9   0.8   2:19.07 Xorg
   1639 splunkf+  20   0  429724 214320  66792 S   0.6   0.9   1:29.95 splunkd
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.64 /opt/saltstack/
   1076 root      20   0 2694144 668180 347620 S   0.4   2.7  11:50.62 falcon-sensor-b
   1337 fastx     20   0   11.0g 200848  36612 S   0.4   0.8   3:33.45 fastx3
 249456 nathan37  20   0  712776  54516  39508 S   0.3   0.2   0:19.14 gnome-terminal-
 254213 nathan37  20   0 1394.2g 466496 193108 S   0.3   1.9   1:18.56 code
   1920 zabbix    20   0 2436588  35520  19576 S   0.2   0.1   1:39.04 zabbix_agent2
 249033 nathan37  20   0  397880  40356  33360 S   0.2   0.2   0:05.43 vmtoolsd
 254532 nathan37  20   0 1409.9g 119676  81720 S   0.2   0.5   0:09.09 code
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:01.00 top
     27 root      20   0       0      0      0 S   0.1   0.0   0:00.27 ksoftirqd/1
     63 root      20   0       0      0      0 S   0.1   0.0   0:00.29 ksoftirqd/7
   1168 root      20   0  460996  12516   8020 S   0.1   0.1   0:29.06 vmtoolsd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7468   4380 S   7.1   0.0   1:55.82 htop
 308004 nathan37  20   0  235136   7468   4360 S   6.1   0.0   1:14.32 htop
 248687 nathan37  20   0 6492060 361952 145908 S   4.4   1.5   5:25.68 gnome-shell
 254213 nathan37  20   0 1394.2g 468984 194772 S   1.5   1.9   1:18.71 code
 248116 nathan37  20   0 4183092 194900  62148 S   1.3   0.8   2:19.20 Xorg
   1076 root      20   0 2694144 668180 347620 S   0.5   2.7  11:50.67 falcon-sensor-b
   1337 fastx     20   0   11.0g 200992  36612 S   0.5   0.8   3:33.50 fastx3
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.69 /opt/saltstack/
   1920 zabbix    20   0 2436588  35400  19576 S   0.4   0.1   1:39.08 zabbix_agent2
 249456 nathan37  20   0  712760  54608  39508 S   0.4   0.2   0:19.18 gnome-terminal-
 254147 nathan37  20   0   33.1g 268868 163608 S   0.3   1.1   4:10.45 code
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.44 rcu_preempt
    780 root      20   0       0      0      0 S   0.1   0.0   0:04.36 xfsaild/dm-0
   1361 root      20   0  484784  30416  16088 S   0.1   0.1   0:06.59 tuned
 249033 nathan37  20   0  397880  40356  33360 S   0.1   0.2   0:05.44 vmtoolsd
 254433 nathan37  20   0 1393.9g 127064  76200 S   0.1   0.5   0:02.69 code
 254532 nathan37  20   0 1409.9g 119740  81720 S   0.1   0.5   0:09.10 code
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7468   4380 S   5.9   0.0   1:56.41 htop
 308004 nathan37  20   0  235136   7468   4360 S   5.9   0.0   1:14.91 htop
 248687 nathan37  20   0 6492060 361952 145908 S   3.5   1.5   5:26.03 gnome-shell
 248116 nathan37  20   0 4183092 194900  62148 S   1.1   0.8   2:19.31 Xorg
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.74 /opt/saltstack/
   1076 root      20   0 2694144 668168 347620 S   0.3   2.7  11:50.70 falcon-sensor-b
   1337 fastx     20   0   11.0g 200668  36612 S   0.3   0.8   3:33.53 fastx3
 249456 nathan37  20   0  712760  54608  39508 S   0.3   0.2   0:19.21 gnome-terminal-
 254213 nathan37  20   0 1394.2g 467332 193124 S   0.3   1.9   1:18.74 code
   1639 splunkf+  20   0  429724 214320  66792 S   0.2   0.9   1:29.97 splunkd
   1920 zabbix    20   0 2436588  37484  19576 S   0.2   0.2   1:39.10 zabbix_agent2
 254532 nathan37  20   0 1409.9g 119700  81720 S   0.2   0.5   0:09.12 code
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:01.03 top
     27 root      20   0       0      0      0 S   0.1   0.0   0:00.28 ksoftirqd/1
     63 root      20   0       0      0      0 S   0.1   0.0   0:00.30 ksoftirqd/7
   1168 root      20   0  460996  12516   8020 S   0.1   0.1   0:29.07 vmtoolsd
   1375 root      20   0  908576  23576  11516 S   0.1   0.1   0:27.27 fail2ban-server
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 248687 nathan37  20   0 6492060 361952 145908 R  10.7   1.5   5:27.10 gnome-shell
 337113 root      20   0  437428  59388  17960 S   9.8   0.2   0:00.98 SetroubleshootP
 337089 setroub+  25   5  544708  85968  23264 S   8.5   0.4   0:00.85 setroubleshootd
 308004 nathan37  20   0  235136   7468   4360 S   7.1   0.0   1:15.62 htop
 248115 nathan37  20   0  319260  93788   6072 S   6.0   0.4   0:26.52 FastX monitor 1
 254213 nathan37  20   0 1394.2g 468808 194772 S   6.0   1.9   1:19.34 code
 296021 nathan37  20   0  235160   7468   4380 S   6.0   0.0   1:57.01 htop
   1337 fastx     20   0   11.0g 203020  36612 S   3.5   0.8   3:33.88 fastx3
   1076 root      20   0 2694144 668256 347620 S   3.1   2.7  11:51.01 falcon-sensor-b
 248116 nathan37  20   0 4183092 194900  62148 S   2.8   0.8   2:19.59 Xorg
 254147 nathan37  20   0   33.1g 269364 163648 S   1.7   1.1   4:10.63 code
      1 root      20   0  176612  19328  11352 S   1.5   0.1   2:08.92 systemd
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.79 /opt/saltstack/
   1143 dbus      20   0    8436   6272   2564 S   0.4   0.0   0:33.45 dbus-broker
   1639 splunkf+  20   0  429724 215272  66792 S   0.4   0.9   1:30.01 splunkd
 249456 nathan37  20   0  712760  54676  39508 S   0.4   0.2   0:19.25 gnome-terminal-
 253950 nathan37  20   0 1394.1g 213408 136632 S   0.4   0.9   0:11.83 code
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 269412 163868 S  75.1   1.1   4:18.16 code
 248687 nathan37  20   0 6492060 361952 145908 S  49.0   1.5   5:32.01 gnome-shell
 248116 nathan37  20   0 4183092 194900  62148 S  12.1   0.8   2:20.80 Xorg
 254213 nathan37  20   0 1394.2g 474800 194936 S   9.9   2.0   1:20.33 code
 296021 nathan37  20   0  235160   7468   4380 S   6.2   0.0   1:57.63 htop
 308004 nathan37  20   0  235136   7468   4360 S   6.2   0.0   1:16.24 htop
   1076 root      20   0 2694144 668224 347620 S   1.6   2.7  11:51.17 falcon-sensor-b
   1337 fastx     20   0   11.0g 202676  36612 S   1.6   0.8   3:34.04 fastx3
 253950 nathan37  20   0 1394.1g 214552 136632 S   1.3   0.9   0:11.96 code
   1639 splunkf+  20   0  429724 217800  66792 S   0.5   0.9   1:30.06 splunkd
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.84 /opt/saltstack/
 254405 nathan37  20   0 1393.9g 278732  86376 S   0.5   1.1   0:10.85 code
 254532 nathan37  20   0 1409.9g 119976  81720 S   0.5   0.5   0:09.19 code
 249456 nathan37  20   0  712760  54732  39508 S   0.4   0.2   0:19.29 gnome-terminal-
 322194 nathan37  20   0  235308   4972   3776 R   0.3   0.0   0:01.07 top
   1920 zabbix    20   0 2436588  36416  19576 S   0.2   0.1   1:39.15 zabbix_agent2
     16 root      20   0       0      0      0 S   0.1   0.0   0:00.28 ksoftirqd/0
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 273528 167776 S  39.8   1.1   4:22.15 code
 248687 nathan37  20   0 6492060 361952 145908 S  18.1   1.5   5:33.83 gnome-shell
 254213 nathan37  20   0 1394.3g 475116 199148 S  10.7   2.0   1:21.40 code
 296021 nathan37  20   0  235160   7468   4380 S   7.0   0.0   1:58.33 htop
 248116 nathan37  20   0 4183092 194900  62148 S   6.2   0.8   2:21.42 Xorg
 308004 nathan37  20   0  235136   7468   4360 S   6.1   0.0   1:16.85 htop
   1076 root      20   0 2694144 668200 347620 S   1.5   2.7  11:51.32 falcon-sensor-b
   1337 fastx     20   0   11.0g 202820  36612 S   0.9   0.8   3:34.13 fastx3
 253950 nathan37  20   0 1394.1g 214744 136632 S   0.9   0.9   0:12.05 code
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.89 /opt/saltstack/
 254532 nathan37  20   0 1409.9g 120164  81720 S   0.4   0.5   0:09.23 code
   1639 splunkf+  20   0  429724 214896  66792 S   0.3   0.9   1:30.09 splunkd
 249456 nathan37  20   0  713016  54656  39508 S   0.3   0.2   0:19.32 gnome-terminal-
 254405 nathan37  20   0 1393.9g 278752  86376 S   0.3   1.1   0:10.88 code
   1920 zabbix    20   0 2436588  34492  19576 S   0.2   0.1   1:39.17 zabbix_agent2
      1 root      20   0  176612  19328  11352 S   0.1   0.1   2:08.93 systemd
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.46 rcu_preempt
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 270800 165040 S  24.6   1.1   4:24.62 code
 248687 nathan37  20   0 6492060 361952 145908 S  10.1   1.5   5:34.84 gnome-shell
 308004 nathan37  20   0  235136   7468   4360 S   6.1   0.0   1:17.46 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.0   0.0   1:58.93 htop
 254213 nathan37  20   0 1394.2g 475172 196300 S   5.7   2.0   1:21.97 code
 248116 nathan37  20   0 4183092 194900  62148 S   4.1   0.8   2:21.83 Xorg
   1076 root      20   0 2694144 668240 347620 S   1.7   2.7  11:51.49 falcon-sensor-b
 253950 nathan37  20   0 1394.1g 215232 136632 S   1.2   0.9   0:12.17 code
   1337 fastx     20   0   11.0g 202916  36612 S   1.1   0.8   3:34.24 fastx3
   2282 root      20   0 1572172  97592  17964 S   0.6   0.4   4:11.95 /opt/saltstack/
 254532 nathan37  20   0 1409.9g 120260  81720 S   0.6   0.5   0:09.29 code
 249456 nathan37  20   0  713016  54660  39508 S   0.3   0.2   0:19.35 gnome-terminal-
 254405 nathan37  20   0 1393.9g 278764  86376 S   0.3   1.1   0:10.91 code
 249033 nathan37  20   0  397880  40356  33360 S   0.2   0.2   0:05.50 vmtoolsd
 254432 nathan37  20   0 1393.9g 130964  82740 S   0.2   0.5   0:04.06 code
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:01.10 top
   1168 root      20   0  460996  12516   8020 S   0.1   0.1   0:29.10 vmtoolsd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 267624 161856 S  52.5   1.1   4:29.88 code
 248687 nathan37  20   0 6492060 361952 145908 S  10.5   1.5   5:35.89 gnome-shell
 254213 nathan37  20   0 1394.2g 468016 192944 S   7.1   1.9   1:22.68 code
 308004 nathan37  20   0  235136   7468   4360 S   7.0   0.0   1:18.16 htop
 296021 nathan37  20   0  235160   7468   4380 S   5.9   0.0   1:59.52 htop
 248116 nathan37  20   0 4183092 194900  62148 S   3.6   0.8   2:22.19 Xorg
   1076 root      20   0 2694144 668152 347620 S   1.1   2.7  11:51.60 falcon-sensor-b
   1337 fastx     20   0   11.0g 202812  36612 S   0.7   0.8   3:34.31 fastx3
   1920 zabbix    20   0 2436588  36696  19576 S   0.5   0.2   1:39.23 zabbix_agent2
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:12.00 /opt/saltstack/
 253950 nathan37  20   0 1394.1g 214724 136632 S   0.5   0.9   0:12.22 code
 249456 nathan37  20   0  713016  54660  39508 S   0.4   0.2   0:19.39 gnome-terminal-
 254532 nathan37  20   0 1409.9g 120420  81720 S   0.4   0.5   0:09.33 code
   1639 splunkf+  20   0  429724 214896  66792 S   0.2   0.9   1:30.12 splunkd
 254405 nathan37  20   0 1393.9g 278772  86376 S   0.2   1.1   0:10.93 code
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:01.12 top
 331537 nathan37  20   0 1675720 942960 513468 S   0.2   3.9   0:08.75 vivado
