    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254155 nathan37  20   0   32.6g  79964  68656 S   0.2   0.3   0:00.54 code
 254532 nathan37  20   0 1409.9g 116944  81656 S   0.2   0.5   0:07.81 code
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:00.20 top
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7448   4380 S   6.1   0.0   1:28.80 htop
 308004 nathan37  20   0  235136   7444   4360 S   6.0   0.0   0:47.56 htop
 248687 nathan37  20   0 6492060 361208 145908 S   1.8   1.5   4:41.77 gnome-shell
 248116 nathan37  20   0 4183092 194856  62144 S   0.7   0.8   2:05.20 Xorg
   1076 root      20   0 2694144 667888 347620 S   0.6   2.7  11:42.17 falcon-sensor-b
   1337 fastx     20   0   11.0g 200792  36612 S   0.5   0.8   3:27.62 fastx3
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:08.84 /opt/saltstack/
 254213 nathan37  20   0 1395.8g 445456 172664 S   0.4   1.8   1:02.52 code
 249456 nathan37  20   0  712632  54272  39504 S   0.3   0.2   0:17.48 gnome-terminal-
   1920 zabbix    20   0 2436588  36404  19576 S   0.2   0.1   1:38.05 zabbix_agent2
 254532 nathan37  20   0 1409.9g 116944  81656 S   0.2   0.5   0:07.83 code
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.24 rcu_preempt
   1168 root      20   0  460996  12516   8020 S   0.1   0.1   0:28.78 vmtoolsd
   1639 splunkf+  20   0  429724 214880  66792 S   0.1   0.9   1:28.51 splunkd
   1672 apache    20   0 2180672   8188   4456 S   0.1   0.0   0:05.88 httpd
 248737 nathan37  20   0  536736  12828   7112 S   0.1   0.1   0:00.68 ibus-daemon
 248742 nathan37  20   0  669860  34648  23472 S   0.1   0.1   0:01.50 ibus-extension-
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 248687 nathan37  20   0 6492060 361204 145908 S  12.1   1.5   4:42.98 gnome-shell
 296021 nathan37  20   0  235160   7448   4380 S   6.0   0.0   1:29.40 htop
 308004 nathan37  20   0  235136   7444   4360 S   6.0   0.0   0:48.16 htop
 254147 nathan37  20   0   33.1g 249832 147780 S   4.9   1.0   2:51.87 code
 254213 nathan37  20   0 1395.9g 452612 178856 R   4.4   1.9   1:02.96 code
 248116 nathan37  20   0 4183092 194856  62144 S   3.7   0.8   2:05.57 Xorg
   1076 root      20   0 2694144 667936 347620 S   1.0   2.7  11:42.27 falcon-sensor-b
   1337 fastx     20   0   11.0g 200880  36612 S   0.8   0.8   3:27.70 fastx3
 253950 nathan37  20   0 1394.1g 216100 136632 S   0.6   0.9   0:09.96 code
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:08.89 /opt/saltstack/
   1920 zabbix    20   0 2436588  35524  19576 S   0.3   0.1   1:38.08 zabbix_agent2
 254532 nathan37  20   0 1409.9g 117004  81656 S   0.3   0.5   0:07.86 code
 249033 nathan37  20   0  397880  40356  33360 S   0.2   0.2   0:04.90 vmtoolsd
 249456 nathan37  20   0  712888  54500  39504 S   0.2   0.2   0:17.50 gnome-terminal-
     39 root      20   0       0      0      0 S   0.1   0.0   0:00.27 ksoftirqd/3
     45 root      20   0       0      0      0 S   0.1   0.0   0:00.34 ksoftirqd/4
   1418 root      20   0   30780  13080  10244 S   0.1   0.1   0:01.56 httpd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 245568 143604 S  64.1   1.0   2:58.30 code
 248687 nathan37  20   0 6492060 361204 145908 S  16.8   1.5   4:44.67 gnome-shell
 254213 nathan37  20   0 1395.8g 451596 174624 S  13.0   1.9   1:04.26 code
 296021 nathan37  20   0  235160   7448   4380 S   7.2   0.0   1:30.12 htop
 248116 nathan37  20   0 4183092 194856  62144 S   6.5   0.8   2:06.22 Xorg
 308004 nathan37  20   0  235136   7444   4360 S   5.9   0.0   0:48.75 htop
   1076 root      20   0 2694144 667964 347620 S   1.6   2.7  11:42.43 falcon-sensor-b
 253950 nathan37  20   0 1394.1g 218712 136632 S   1.5   0.9   0:10.11 code
   1337 fastx     20   0   11.0g 200676  36612 S   1.1   0.8   3:27.81 fastx3
 254405 nathan37  20   0 1393.9g 276668  86376 S   0.6   1.1   0:10.21 code
 254532 nathan37  20   0 1409.9g 118052  81656 S   0.6   0.5   0:07.92 code
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:08.94 /opt/saltstack/
 249456 nathan37  20   0  712760  54448  39504 S   0.4   0.2   0:17.54 gnome-terminal-
   1920 zabbix    20   0 2436588  36272  19576 S   0.3   0.1   1:38.11 zabbix_agent2
 322194 nathan37  20   0  235308   4972   3776 R   0.3   0.0   0:00.25 top
 254432 nathan37  20   0 1393.9g 126380  82740 S   0.2   0.5   0:03.96 code
     63 root      20   0       0      0      0 S   0.1   0.0   0:00.23 ksoftirqd/7
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 255864 148836 S  72.1   1.1   3:05.53 code
 248687 nathan37  20   0 6492060 361204 145908 S  10.3   1.5   4:45.70 gnome-shell
 254213 nathan37  20   0 1395.9g 458476 180056 S   9.9   1.9   1:05.25 code
 326206 root      20   0  437752  59788  18016 S   9.9   0.2   0:00.99 SetroubleshootP
 326152 setroub+  25   5  546244  89992  23288 S   8.9   0.4   0:00.89 setroubleshootd
 308004 nathan37  20   0  235136   7468   4360 R   7.0   0.0   0:49.45 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.3   0.0   1:30.75 htop
   1076 root      20   0 2694144 667744 347620 S   6.2   2.7  11:43.05 falcon-sensor-b
 248115 nathan37  20   0  319260  93788   6072 S   5.2   0.4   0:22.95 FastX monitor 1
 248116 nathan37  20   0 4183092 194860  62144 S   4.1   0.8   2:06.63 Xorg
   1337 fastx     20   0   11.0g 201568  36612 S   3.7   0.8   3:28.18 fastx3
      1 root      20   0  176612  19328  11352 S   1.5   0.1   2:07.36 systemd
 253950 nathan37  20   0 1394.1g 212048 136632 S   1.4   0.9   0:10.25 code
 254405 nathan37  20   0 1393.9g 276968  86376 S   0.7   1.1   0:10.28 code
 254532 nathan37  20   0 1409.9g 117940  81656 S   0.7   0.5   0:07.99 code
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:08.99 /opt/saltstack/
 312692 root      20   0       0      0      0 I   0.5   0.0   0:00.08 kworker/u516:4-flush-0:44
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 258644 151340 S  60.2   1.1   3:11.57 code
 248687 nathan37  20   0 6492060 361204 145908 S  43.1   1.5   4:50.02 gnome-shell
 254213 nathan37  20   0 1395.9g 454700 182216 S  15.0   1.9   1:06.75 code
 248116 nathan37  20   0 4183092 194860  62144 S  13.0   0.8   2:07.93 Xorg
 308004 nathan37  20   0  235136   7468   4360 S   6.4   0.0   0:50.09 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.2   0.0   1:31.37 htop
   1337 fastx     20   0   11.0g 200604  36612 S   1.9   0.8   3:28.37 fastx3
 253950 nathan37  20   0 1394.1g 211164 136632 S   1.8   0.9   0:10.43 code
   1076 root      20   0 2694144 667680 347620 S   1.4   2.7  11:43.19 falcon-sensor-b
   1639 splunkf+  20   0  429724 214152  66792 S   0.7   0.9   1:28.61 splunkd
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:09.04 /opt/saltstack/
 249456 nathan37  20   0  712760  54448  39504 S   0.4   0.2   0:17.61 gnome-terminal-
 254405 nathan37  20   0 1393.9g 276740  86376 S   0.3   1.1   0:10.31 code
